"Order Archives","Projekty Archiwalne"
"Amasty Order Attributes","Cechy Projektu"
"Manage Order Attributes","Zarządzaj Cechami"
"Manage Order Attributes Relations","Zarządzaj Relacjami Cech"
"Sales","Sprzedaż"
